technique,sweep,held_out_ua,day,condition,da_uM,aa_uM,ua_uM,baseline_rmse_global,baseline_r2_global,baseline_rmse_AA,baseline_r2_AA,baseline_rmse_DA,baseline_r2_DA,baseline_rmse_UA,baseline_r2_UA,corrected_rmse_global,corrected_r2_global,corrected_rmse_AA,corrected_r2_AA,corrected_rmse_DA,corrected_r2_DA,corrected_rmse_UA,corrected_r2_UA
cv_normal,anodic,200,3,21,100,0,200,0.8764598756,-11.21479111,0.2121307945,-13.47165154,0.2311909457,-1.612762101,0.2306064904,-2.019204083,0.2211431209,0.2223774692,0.04794120716,0.2608567924,0.03162235618,0.9511182577,0.09788689471,0.456000475
cv_normal,anodic,200,3,22,100,100,200,0.8990961885,-16.51495626,0.2160842661,-4.762325082,0.2022019566,-0.1700246499,0.2954798757,-1.969687302,0.2664687501,-0.5384709971,0.04633543379,0.7350414544,0.05501289878,0.9133929265,0.1182319421,0.5245284307
cv_normal,anodic,200,3,23,100,200,200,0.9117567245,-16.936022,0.1858801905,-1.109918453,0.2284883287,-0.05299845973,0.2934681768,-0.988249279,0.3587050462,-1.776151421,0.07840475339,0.6246086693,0.115375699,0.7315098332,0.1734615356,0.3053673715
cv_normal,anodic,200,3,24,100,400,200,0.9776828308,-11.6454521,0.1343887576,0.3929705094,0.3482491199,-3.827321477,0.2975703349,-3.498046678,0.4715203366,-1.941299443,0.1247442966,0.4769715542,0.1976916822,-0.5556180039,0.1747889264,-0.5519313987
cv_normal,anodic,400,4,2,0,100,400,0.9283483161,-6.399117123,0.2531759267,-4421.901125,0.1078432569,-2275.643981,0.339835382,-65.45964302,0.1881652516,0.6960257155,0.03963518642,-107.3987376,0.06904638899,-932.2351163,0.06581019996,-1.492339715
cv_normal,anodic,400,4,3,0,200,400,0.9207889034,-4.20577732,0.2985504896,-1114.100929,0.1491998852,-121.8751864,0.52044571,-556.5652527,0.242204773,0.639810683,0.07169192652,-63.30120392,0.05357096494,-14.84112971,0.1666263924,-56.15212965
cv_normal,anodic,400,4,4,0,400,400,0.9958045458,-3.746015804,0.3083476022,-199.9593637,0.1347177498,-14.23151696,0.7969725538,-24107.21566,0.3216563427,0.5048175888,0.08087421771,-12.82443152,0.02228999073,0.5830218539,0.4082708282,-6325.667879
cv_normal,anodic,400,4,5,5,0,400,1.015536304,-4.548037271,0.1448100308,-48.37026052,0.04031065959,-63.9385557,0.1624682002,-4.421800158,0.3348303337,0.3968878816,0.1093112767,-27.13183492,0.1184334507,-559.546419,0.2211077742,-9.041874567
cv_normal,anodic,400,4,6,5,100,400,0.9801569187,-2.57668276,0.2225794701,-344.944298,0.08647398127,-1220.229994,0.3350383113,-24.78230363,0.3802306562,0.4617507171,0.05417998781,-19.49810789,0.08693639365,-1233.325766,0.05814041261,0.2235937985
cv_normal,anodic,400,4,7,5,200,400,0.9733347777,-2.100818863,0.271136875,-3056.431894,0.1384065497,-100.5233617,0.5231177284,-181.1200204,0.3920198404,0.4969999711,0.05303122808,-115.9615158,0.0592643762,-17.61401846,0.1613189356,-16.31926705
cv_normal,anodic,400,4,8,5,400,400,1.048182227,-1.964772761,0.2834769311,-104.9442088,0.1514200212,-13.76700372,0.8150368675,-6603.454385,0.4486907409,0.4567346028,0.05575441722,-3.098267843,0.05404884938,-0.8814760095,0.4224047182,-1772.944212
cv_normal,anodic,400,4,9,10,0,400,1.046528939,-6.071714435,0.1537588425,-76.96459043,0.08244217445,-317.2314964,0.1791857685,-6.812179402,0.2901620724,0.4563698688,0.1029970527,-33.98378489,0.08908573265,-370.587073,0.2033747978,-9.063740944
cv_normal,anodic,400,4,10,10,100,400,1.005027683,-4.11803426,0.2376576958,-895.4848528,0.133206243,-1884.833281,0.3628737985,-45.27262203,0.2853964298,0.587290741,0.05115015874,-40.52724916,0.06277958271,-417.8813133,0.0639479085,-0.4370291483
cv_normal,anodic,400,4,11,10,200,400,1.000773385,-3.004030907,0.2810810699,-461.1272962,0.1960295092,-119.5656819,0.5557467287,-515.7924613,0.3241787696,0.5798589983,0.05772978863,-18.49388324,0.08785436847,-23.21628526,0.1976323134,-64.35491418
cv_normal,anodic,400,4,12,10,400,400,1.066788003,-3.103128179,0.2818843755,-88.14838015,0.1813289439,-19.02497207,0.8274310278,-12856.01143,0.3659129116,0.5172588651,0.05567560494,-2.477773845,0.09655165631,-4.677499587,0.4312868443,-3492.082533
cv_normal,anodic,400,4,13,20,0,400,1.106274728,-6.627240135,0.1586598184,-71.6074132,0.1371605751,-868.3283553,0.2050129771,-8.868764723,0.3047809904,0.421081819,0.1056567509,-31.19893898,0.09837941592,-446.2328857,0.1728261797,-6.013247262
cv_normal,anodic,400,4,14,20,100,400,1.063708543,-5.071467479,0.2399395989,-722.0087365,0.1822248104,-3266.103003,0.392354331,-52.95252791,0.276645575,0.5893272987,0.06201708246,-47.30169272,0.1000674619,-984.2208222,0.0813777427,-1.320952083
cv_normal,anodic,400,4,15,20,200,400,1.059149634,-3.673122549,0.2856027986,-2272.734263,0.2284787554,-223.6210227,0.5793836647,-402.7332955,0.3170740984,0.5811928749,0.07236028441,-144.9537706,0.1353019884,-77.77113619,0.2235843256,-59.12357304
cv_normal,anodic,400,4,16,20,400,400,1.127491845,-3.359111771,0.2877834032,-154.6575759,0.2175007253,-29.80788735,0.8551614221,-15880.64683,0.3848544486,0.492116378,0.06933090405,-8.034258256,0.1535821665,-14.36109156,0.4537289328,-4469.872448
cv_normal,anodic,400,4,17,50,0,400,1.193229945,-6.223827231,0.1563855567,-57.02456456,0.2564766601,-1520.897867,0.2718513544,-15.29931611,0.3841509045,0.2512742271,0.1284599022,-38.15198476,0.1932246982,-862.803749,0.1219968881,-2.282493583
cv_normal,anodic,400,4,18,50,100,400,1.157739129,-4.448404389,0.2387734764,-1151.722046,0.3089599511,-3493.401875,0.4693517859,-76.91729652,0.3774621813,0.4208450114,0.07794741976,-121.8445577,0.2275850995,-1895.077668,0.1458088243,-6.51976974
cv_normal,anodic,400,4,19,50,200,400,1.148644634,-4.484565262,0.2882399027,-1570.123908,0.3521851554,-487.7089297,0.6545111492,-554.7025079,0.3574881866,0.468755775,0.08391864475,-132.1739114,0.2747044502,-296.3305754,0.301433591,-116.8668165
cv_normal,anodic,400,4,20,50,400,400,1.216831549,-3.373973036,0.2406922223,-51.38040101,0.3328662739,-41.64270277,0.9205258203,-13399.07331,0.4578824727,0.3806684305,0.05704116593,-1.941856561,0.2943060009,-32.33522332,0.5174206685,-4232.72622
cv_normal,anodic,400,4,21,100,0,400,1.024919025,-5.394284137,0.1556715088,-82.55919802,0.3241811708,-4985.66299,0.3369815711,-24.0804157,0.3119352424,0.4077000315,0.1218210392,-50.17060996,0.2511443387,-2991.824368,0.1094379877,-1.645200687
cv_normal,anodic,400,4,22,100,100,400,0.9934426757,-3.984954954,0.2370623013,-553.9227803,0.3589558664,-13223.03435,0.5355028673,-87.15053404,0.3344967959,0.4348554577,0.07756568488,-58.40825888,0.2821323885,-8168.354633,0.2199524197,-13.871639
