technique,sweep,held_out_ua,day,condition,da_uM,aa_uM,ua_uM,baseline_rmse_global,baseline_r2_global,baseline_rmse_AA,baseline_r2_AA,baseline_rmse_DA,baseline_r2_DA,baseline_rmse_UA,baseline_r2_UA,corrected_rmse_global,corrected_r2_global,corrected_rmse_AA,corrected_r2_AA,corrected_rmse_DA,corrected_r2_DA,corrected_rmse_UA,corrected_r2_UA
cv_normal,cathodic,400,4,14,20,100,400,1.134594911,-117.5527009,0.2741895963,-452.1068602,0.09574035223,-381.9531394,0.2759009772,-46.10818881,1.373997446,-172.8607868,0.3433607576,-709.5587804,0.5509350194,-12680.08313,0.628923335,-243.7853076
cv_normal,cathodic,400,4,15,20,200,400,1.098093532,-70.31298352,0.311265811,-368.8376452,0.0774435422,-74.17162009,0.2868194957,-29.36418963,1.371483207,-110.2425481,0.3444099909,-451.7930537,0.509824709,-3256.80625,0.6476515382,-153.8200352
cv_normal,cathodic,400,4,16,20,400,400,1.170543637,-38.18270342,0.344492512,-321.8904545,0.06827099447,-17.32653982,0.3467512047,-29.22607116,1.388280754,-54.11550432,0.3707020137,-372.8914414,0.4273674757,-717.1430339,0.6676409392,-111.0551089
cv_normal,cathodic,400,4,17,50,0,400,1.279374974,-157.4720191,0.3010022182,-701.8044727,0.2281497396,-8235.482031,0.3681960335,-97.7878626,1.474663554,-209.5439581,0.3471479232,-933.8119761,0.6068712875,-58275.70403,0.6406959632,-298.1226868
cv_normal,cathodic,400,4,18,50,100,400,1.199117082,-97.89153407,0.3574539949,-548.5406511,0.2057360758,-1121.572811,0.3710073384,-60.91902974,1.463586952,-146.3238272,0.3485185719,-521.4098601,0.5661941899,-8501.065232,0.6724055967,-202.3863404
cv_normal,cathodic,400,4,19,50,200,400,1.164730119,-68.92934538,0.3998160759,-573.0220427,0.1935692836,-384.9865025,0.380722305,-47.18252861,1.458024048,-108.5817481,0.357526764,-458.0132067,0.5266284487,-2855.984375,0.696271079,-160.1497582
cv_normal,cathodic,400,4,20,50,400,400,1.235754952,-33.28671932,0.4307824324,-447.2395566,0.1724216172,-90.02926706,0.4185405816,-38.10212237,1.456857694,-46.6535739,0.3859154052,-358.731478,0.4253173901,-552.890477,0.7072415937,-110.6505256
cv_normal,cathodic,400,4,21,100,0,400,1.109296066,-138.5219767,0.310625045,-1083.981251,0.2385691693,-9399.561397,0.3740977597,-116.2860107,1.578049039,-281.3505673,0.3373261114,-1278.526295,0.5980055563,-59064.7322,0.6196773576,-320.8157205
cv_normal,cathodic,400,4,22,100,100,400,1.034269912,-94.37521635,0.372337733,-779.9871017,0.2218232196,-1731.623185,0.3820926508,-85.78333534,1.560935079,-216.2388205,0.347315799,-678.5459675,0.5510700057,-10692.10077,0.6575018477,-255.9762124
cv_normal,cathodic,400,4,23,100,200,400,1.000450362,-58.69881773,0.410637637,-649.9451984,0.2027852827,-473.6678535,0.388497622,-55.35958303,1.542199456,-140.8586198,0.3555485758,-487.0056051,0.4933412206,-2808.388262,0.6785437436,-170.9280521
cv_normal,cathodic,400,4,24,100,400,400,1.074281082,-36.36101597,0.4445386665,-534.0456557,0.1886241082,-154.0989678,0.4364550705,-50.35041417,1.53217069,-74.99711789,0.3947195106,-420.8411524,0.3774451973,-620.0439223,0.7065986335,-133.5892741
cv_gc,anodic,0,1,6,5,100,0,1.205771619,-5.021765239,1.914200575,-1126.981768,0.4185443431,-6.628589627,0.1833234628,-15.97151477,6.778665447,-189.3189822,12.54392793,-48437.90263,2.863637312,-356.1061462,0.1179024084,-6.019882697
cv_gc,anodic,0,1,7,5,200,0,1.202718179,-5.346805589,1.869876275,-488.782832,0.4569841994,-3.027564363,0.2920474343,-8.321077796,6.790456896,-201.3137679,12.55499841,-22079.61369,2.942605718,-165.9953083,0.1439543299,-1.264690231
cv_gc,anodic,0,1,8,5,400,0,1.250129682,-6.130703199,1.856112926,-204.1637335,0.5641991571,-2.213459429,0.5538855408,-12.503953,6.786662393,-209.1525758,12.52674352,-9343.760468,2.956289461,-87.22707174,0.2357843214,-1.447094313
cv_gc,anodic,0,1,10,10,100,0,2.238431943,-17.00042977,4.542427824,-6655.106754,0.9803628754,-34.0877929,0.1688132636,-9.992595657,6.774749615,-163.8851649,12.52991134,-50644.4231,2.905686835,-307.2335786,0.1487396379,-7.533762679
cv_gc,anodic,0,1,11,10,200,0,2.229723057,-18.53199699,4.509250935,-3406.997789,0.9514085147,-13.97352598,0.2803571086,-6.913443245,6.780531829,-179.6226946,12.52872943,-26308.01309,3.003046434,-148.181204,0.1704200328,-1.924042204
cv_gc,anodic,0,1,12,10,400,0,2.243287925,-21.10891556,4.463496386,-935.8586999,1.01976537,-6.01873362,0.5388959305,-9.73987516,6.798200452,-202.0417444,12.53072033,-7382.729767,3.082987196,-63.15074186,0.2551554699,-1.40768236
cv_gc,anodic,0,1,14,20,100,0,1.465763031,0.8814656458,0.5647491132,0.9654615083,0.1371063625,0.980683602,0.2656109048,-1.505060017,11.53608239,-6.34232169,21.84271117,-50.66605934,4.961961117,-24.29983219,0.3309110901,-2.888203417
cv_gc,anodic,0,1,15,20,200,0,1.470580101,0.8951387404,1.700618091,0.7566660081,0.3826924953,0.8709060755,0.3939032611,-2.564101351,11.80951602,-5.762416242,23.00730643,-43.53697798,5.237689634,-23.18162227,0.3844788174,-2.39559377
cv_gc,anodic,0,1,16,20,400,0,1.598798502,0.8402985533,1.908756239,0.6099938475,0.6006937931,0.7061061292,0.6832915381,-5.759929884,10.94001356,-6.477511768,23.12702493,-56.25455664,5.444076259,-23.13974289,0.4823291987,-2.368350012
cv_gc,anodic,0,1,18,50,100,0,1.982367546,0.8100897358,3.704835018,-0.1353169242,0.9546034743,0.3092893245,0.2470266828,-0.7230818629,11.77879819,-5.704741548,23.20317437,-43.5322023,5.315411899,-20.41529176,0.4112606894,-3.775870877
cv_gc,anodic,0,1,19,50,200,0,2.15451831,0.7683035313,3.406953904,0.0957411871,0.9092920045,0.3460864696,0.3584775216,-1.3934872,11.61738359,-5.736521416,23.46495666,-41.89431608,5.383147957,-21.91850118,0.4721631163,-3.152325302
cv_gc,anodic,0,1,20,50,400,0,3.671377088,-0.0009053776708,4.959588748,-3.127133813,0.7032478255,0.6562227096,0.6393938243,-3.242974206,10.39848545,-7.029254292,22.4116533,-83.27621237,5.6366904,-21.08557707,0.5864588578,-2.56951012
cv_gc,anodic,0,1,22,100,100,0,1.229350543,-15.34536558,1.257063488,-88.99987712,0.3293862918,-1.001318834,0.2530990627,-4.31146125,6.799514883,-499.0334081,12.61963843,-9069.292982,2.993754563,-164.3246553,0.2357224994,-3.607178285
cv_gc,anodic,0,1,23,100,200,0,1.276310253,-17.02506788,1.309688361,-71.54966162,0.3695132534,-0.5642265704,0.3753793171,-2.844369577,6.809558743,-512.1003775,12.63537716,-6751.675413,3.032938535,-104.3820972,0.315707371,-1.719279793
cv_gc,anodic,0,1,24,100,400,0,1.327898179,-13.56971082,1.333982038,-50.855457,0.3618255589,-0.03123375001,0.6062630437,-4.17230734,6.802516081,-381.3495083,12.60803491,-4631.221387,3.018564215,-70.77273124,0.4073037979,-1.334527807
cv_gc,anodic,100,2,2,0,100,100,1.785230233,-77.6564463,2.666406238,-37466.43721,0.7414440368,-2501.123249,0.3080883415,-1812.237983,2.786832236,-190.6758979,4.943014094,-128760.2109,1.196433741,-6514.222467,0.1017010746,-196.5856332
cv_gc,anodic,100,2,3,0,200,100,1.766464168,-81.36508885,2.62347851,-30600.02026,0.7124739595,-864.8259849,0.4233881175,-10507.57289,2.762054772,-200.3715345,5.056419556,-113674.5565,1.204482242,-2473.53401,0.1246683101,-910.1262427
cv_gc,anodic,100,2,4,0,400,100,1.761204747,-42.02213111,2.60965392,-12949.74873,0.7121992528,-274.6495667,0.6320521494,-96.26579,2.593827084,-92.3156029,5.07981021,-49069.89921,1.273394098,-880.2110862,0.1855405902,-7.381700938
cv_gc,anodic,100,2,5,5,0,100,3.013936957,-356.7560302,5.642454365,-10827690.35,1.403201574,-10976.0731,0.1496862508,-12.23566577,3.004021284,-354.4059103,5.344239543,-9713406.063,1.255732599,-8790.050355,0.06591656157,-1.566676063
cv_gc,anodic,100,2,6,5,100,100,3.005527976,-293.9232267,5.630598104,-85196.0565,1.448024815,-7207.123917,0.2617825064,-120.7619868,3.048032404,-302.3238688,5.574610139,-83510.16298,1.336455311,-6139.151934,0.07222750887,-8.269061328
cv_gc,anodic,100,2,7,5,200,100,2.993060789,-297.5483226,5.602883405,-45644.64063,1.453129092,-34105.19734,0.393483193,-843.1793803,3.031165737,-305.198407,5.696825603,-47188.13167,1.375577076,-30561.91442,0.1029625294,-56.80172139
cv_gc,anodic,100,2,8,5,400,100,3.001849956,-150.6169809,5.609909391,-22347.46479,1.479856346,-10881.12055,0.6692123444,-3911.920841,2.871081916,-137.6950784,5.730057861,-23314.99837,1.465886709,-10676.63887,0.1745678754,-265.2574865
cv_gc,anodic,100,2,9,10,0,100,4.203550771,-603.5884263,8.26983896,-1125252.463,2.030667513,-9929.083181,0.1608342704,-11.52391442,3.230574868,-356.0975374,5.893148338,-571413.1609,1.377105261,-4565.773999,0.06934804601,-1.328366606
cv_gc,anodic,100,2,10,10,100,100,4.191483448,-772.3309315,8.24736543,-78629.73099,2.061825729,-1906.710857,0.2108560984,-15.70130077,3.268321954,-469.1966523,6.106693901,-43108.61457,1.441958208,-932.0694894,0.08007735498,-1.408781483
cv_gc,anodic,100,2,11,10,200,100,4.155655494,-853.4768035,8.170240944,-23695.04605,2.075307369,-7547.642301,0.3472952026,-198.1321509,3.226466097,-514.0808635,6.173328093,-13527.35137,1.4867209,-3873.029144,0.08089511139,-9.80409442
cv_gc,anodic,100,2,12,10,400,100,4.141283146,-295.4802141,8.143398217,-12130.23549,2.106369014,-10094.09823,0.6199104206,-346.7299644,3.049056011,-159.7150955,6.16080319,-6942.338826,1.576638843,-5654.956732,0.1680475963,-24.55340936
cv_gc,anodic,100,2,13,20,0,100,6.227764707,-1825.939898,12.61646738,-193142.067,3.077074358,-5731.551391,0.2039304802,-54.84168682,3.617345314,-615.367606,6.825552117,-56529.02267,1.589265125,-1528.201379,0.08031510874,-7.661413018
cv_gc,anodic,100,2,14,20,100,100,6.187542875,-2135.806592,12.54159694,-46106.29165,3.004477838,-738.8220755,0.1668215191,-2.426890788,3.624329429,-732.1352531,6.974182549,-14256.73555,1.55030484,-195.9806118,0.1150596162,-0.6302040303
cv_gc,anodic,100,2,15,20,200,100,6.155813308,-2179.97005,12.47706123,-21326.88203,3.026790837,-594.0581517,0.2028361881,-7.437521625,3.585730426,-739.004046,7.040743963,-6790.414222,1.597556593,-164.7704405,0.1801841314,-5.658204035
