day,condition,condition_code,dopamine_uM,ascorbic_acid_uM,uric_acid_uM,technique,sweep,n_points,rmse_uA,mae_uA,max_abs_residual_uA,normalized_rmse,r2,superposition_mode,baseline_source
2,11,211,10,200,100,cv_normal,cathodic,1000,1.17972595779,0.61603423244,8.57559218734,0.686685656456,-5.66924730115,full_curve_sum,mean
2,11,211,10,200,100,cv_gc,anodic,1001,18.6821553332,18.5526754111,25.917633476,7.92297422177,-473.432026972,full_curve_sum,mean
2,11,211,10,200,100,cv_gc,cathodic,1000,18.219555789,18.1243346024,25.4942233978,7.94815503598,-770.85129696,full_curve_sum,mean
2,12,212,10,400,100,cv_normal,anodic,1001,1.44399553004,0.67934541357,8.53159640352,0.447277270188,-0.572975502561,full_curve_sum,mean
2,12,212,10,400,100,cv_normal,cathodic,1000,1.11423242352,0.607223594858,7.85773081636,0.426219022281,-1.07619786356,full_curve_sum,mean
2,12,212,10,400,100,cv_gc,anodic,1001,18.6368809035,18.5124696746,25.581893175,5.02345526914,-189.724783264,full_curve_sum,mean
2,12,212,10,400,100,cv_gc,cathodic,1000,18.217986025,18.1274440354,25.1497414274,5.8701421057,-371.472045382,full_curve_sum,mean
2,13,213,20,0,100,cv_normal,anodic,1001,1.70278317614,0.864481426843,9.52384545636,0.845399816866,-25.5952188024,full_curve_sum,mean
2,13,213,20,0,100,cv_normal,cathodic,1000,1.2000479371,0.60395841507,8.76240604757,0.581383364428,-18.2729719306,full_curve_sum,mean
2,13,213,20,0,100,cv_gc,anodic,1001,34.2558963112,34.081513368,40.6317902652,16.3815631831,-8720.67134332,full_curve_sum,mean
2,13,213,20,0,100,cv_gc,cathodic,1000,33.7871142963,33.659311266,40.2182097819,15.7940909892,-11530.4312636,full_curve_sum,mean
2,14,214,20,100,100,cv_normal,anodic,1001,1.76408288416,0.86798572777,9.73838943439,0.94620603911,-23.6715620383,full_curve_sum,mean
2,14,214,20,100,100,cv_normal,cathodic,1000,1.24627129209,0.617617190551,9.00843076967,0.66143259319,-17.4126486747,full_curve_sum,mean
2,14,214,20,100,100,cv_gc,anodic,1001,34.2576498459,34.0815168592,40.7748588582,15.8312556331,-6369.03423649,full_curve_sum,mean
2,14,214,20,100,100,cv_gc,cathodic,1000,33.7359342021,33.6083305071,40.356977745,15.3936411225,-7901.22039689,full_curve_sum,mean
2,15,215,20,200,100,cv_normal,anodic,1001,1.7444207106,0.841240919414,9.64426153511,0.860496842038,-12.3282958436,full_curve_sum,mean
2,15,215,20,200,100,cv_normal,cathodic,1000,1.25022906087,0.646110998602,8.91946604147,0.613203060978,-10.3933295522,full_curve_sum,mean
2,15,215,20,200,100,cv_gc,anodic,1001,34.2617496845,34.0850490118,40.8091098153,14.6632355839,-3815.88045528,full_curve_sum,mean
2,15,215,20,200,100,cv_gc,cathodic,1000,33.7133289865,33.5861513949,40.3804376254,14.3390804443,-5310.49363902,full_curve_sum,mean
2,16,216,20,400,100,cv_normal,anodic,1001,1.71691287444,0.90344656256,9.25265535943,0.652527055188,-3.41828441175,full_curve_sum,mean
2,16,216,20,400,100,cv_normal,cathodic,1000,1.2105279742,0.649403449256,8.49285467049,0.458268604006,-3.07524408628,full_curve_sum,mean
2,16,216,20,400,100,cv_gc,anodic,1001,34.2002346015,34.027691254,40.5228695143,11.0358937081,-1212.62485365,full_curve_sum,mean
2,16,216,20,400,100,cv_gc,cathodic,1000,33.6602413525,33.5362078225,40.085455655,10.8080245161,-2093.17783286,full_curve_sum,mean
2,17,217,50,0,100,cv_normal,anodic,1001,1.55139846525,0.684102695551,9.17698772595,0.633198018552,-7.22903144005,full_curve_sum,mean
2,17,217,50,0,100,cv_normal,cathodic,1000,1.18583109933,0.651802282803,8.5105347355,0.473012734204,-6.77112445746,full_curve_sum,mean
2,17,217,50,0,100,cv_gc,anodic,1001,28.0769444535,27.9295077397,34.5384110785,10.5845886446,-1657.14769051,full_curve_sum,mean
2,17,217,50,0,100,cv_gc,cathodic,1000,27.7223180081,27.6136965143,34.1213903992,10.3508108794,-2429.48553654,full_curve_sum,mean
2,18,218,50,100,100,cv_normal,anodic,1001,1.64475820866,0.74265101212,9.60603170397,0.796570228914,-7.55362015888,full_curve_sum,mean
2,18,218,50,100,100,cv_normal,cathodic,1000,1.23785719312,0.630150588653,8.97105945761,0.596802156602,-6.79101160248,full_curve_sum,mean
2,18,218,50,100,100,cv_gc,anodic,1001,28.1931784783,28.0432127509,34.8627296715,11.1119259334,-1509.82067508,full_curve_sum,mean
2,18,218,50,100,100,cv_gc,cathodic,1000,27.7384414287,27.6287586553,34.4414083623,10.8871062293,-2086.22339162,full_curve_sum,mean
2,19,219,50,200,100,cv_normal,anodic,1001,1.63866914311,0.713322013195,9.5574038047,0.752105721385,-4.90970764552,full_curve_sum,mean
2,19,219,50,200,100,cv_normal,cathodic,1000,1.24364612946,0.654458914343,8.92759472941,0.569011669184,-4.73069764887,full_curve_sum,mean
2,19,219,50,200,100,cv_gc,anodic,1001,28.1864040757,28.0356458902,34.9069806286,10.4461795889,-1111.50417606,full_curve_sum,mean
2,19,219,50,200,100,cv_gc,cathodic,1000,27.6975353027,27.5883627606,34.4748682426,10.2360734708,-1548.07073263,full_curve_sum,mean
2,20,220,50,400,100,cv_normal,anodic,1001,1.57916187813,0.685019041886,9.12904762901,0.557638270801,-1.11468654417,full_curve_sum,mean
2,20,220,50,400,100,cv_normal,cathodic,1000,1.21556804879,0.705086217532,8.46423335843,0.430869150996,-1.4683251971,full_curve_sum,mean
2,20,220,50,400,100,cv_gc,anodic,1001,28.2064449754,28.0567480808,34.8572403275,8.75514323972,-526.431453,full_curve_sum,mean
2,20,220,50,400,100,cv_gc,cathodic,1000,27.7159795642,27.6081782284,34.4163862723,8.58206069443,-916.800529943,full_curve_sum,mean
2,21,221,100,0,100,cv_normal,anodic,1001,1.37828508222,0.578534116704,8.53393848893,0.69756564629,-4.63624749823,full_curve_sum,mean
2,21,221,100,0,100,cv_normal,cathodic,1000,1.11561023505,0.62516529235,7.89494572123,0.549683543172,-4.78134890316,full_curve_sum,mean
2,21,221,100,0,100,cv_gc,anodic,1001,1.32409251064,0.611000849678,7.83335262608,0.482215893307,-1.38464977985,full_curve_sum,mean
2,21,221,100,0,100,cv_gc,cathodic,1000,1.07322181047,0.54391620373,7.42314385116,0.389702721716,-1.29220710143,full_curve_sum,mean
2,22,222,100,100,100,cv_normal,anodic,1001,1.37833609282,0.625301728993,8.35423246695,0.614320742899,-3.33747390084,full_curve_sum,mean
2,22,222,100,100,100,cv_normal,cathodic,1000,1.08250290523,0.554600924997,7.74672044334,0.478174286984,-3.11099001473,full_curve_sum,mean
2,22,222,100,100,100,cv_gc,anodic,1001,1.32465976043,0.661913733119,7.73142121907,0.431506347355,-0.848030212175,full_curve_sum,mean
2,22,222,100,100,100,cv_gc,cathodic,1000,1.05474347307,0.550567508594,7.31691181427,0.342568744956,-0.609948247195,full_curve_sum,mean
2,23,223,100,200,100,cv_normal,anodic,1001,1.3357604918,0.563392881509,8.13860456767,0.526838889654,-1.67885220547,full_curve_sum,mean
2,23,223,100,200,100,cv_normal,cathodic,1000,1.06654849443,0.572380126259,7.53625571514,0.419909247989,-1.82107170205,full_curve_sum,mean
2,23,223,100,200,100,cv_gc,anodic,1001,1.37131526817,0.740380824622,7.74292217618,0.419317586242,-0.633694289894,full_curve_sum,mean
2,23,223,100,200,100,cv_gc,cathodic,1000,1.05115231401,0.542629841188,7.31762169461,0.320578334062,-0.296112371988,full_curve_sum,mean
2,24,224,100,400,100,cv_normal,anodic,1001,1.32625519933,0.603699190649,7.82274839199,0.420989961141,-0.220679718805,full_curve_sum,mean
2,24,224,100,400,100,cv_normal,cathodic,1000,1.040688295,0.582214910735,7.18539434416,0.339157651257,-0.487562694804,full_curve_sum,mean
2,24,224,100,400,100,cv_gc,anodic,1001,1.46051577399,0.841790941299,7.80818187512,0.396623313485,-0.0991093697616,full_curve_sum,mean
2,24,224,100,400,100,cv_gc,cathodic,1000,1.05071691687,0.516382676512,7.37413972426,0.284639138774,0.114043497793,full_curve_sum,mean
3,2,302,0,100,200,cv_normal,anodic,1001,1.21891068546,0.499123179199,7.81506709869,0.301770322207,0.227263421759,full_curve_sum,mean
3,2,302,0,100,200,cv_normal,cathodic,1000,1.05921949713,0.62494700267,7.36364925806,0.391216442878,-0.516945381463,full_curve_sum,mean
3,2,302,0,100,200,cv_gc,anodic,1001,9.87237001183,9.76816463841,10.6081716523,0.476978681916,-34.2222901486,full_curve_sum,mean
3,2,302,0,100,200,cv_gc,cathodic,1000,10.2534088685,10.1732609633,10.8144465295,0.704402571932,-98.4373911189,full_curve_sum,mean
3,3,303,0,200,200,cv_normal,anodic,1001,1.18716652777,0.549847660692,7.39218919942,0.24512432642,0.483300496208,full_curve_sum,mean
3,3,303,0,200,200,cv_normal,cathodic,1000,1.05533733012,0.643533395581,6.94593452986,0.329306159994,-0.0061986683352,full_curve_sum,mean
3,3,303,0,200,200,cv_gc,anodic,1001,9.89871847872,9.80291582346,10.7162737739,0.465648605647,-27.4844919088,full_curve_sum,mean
3,3,303,0,200,200,cv_gc,cathodic,1000,10.285216776,10.2110469702,10.9886972304,0.683577749664,-71.0278621649,full_curve_sum,mean
3,4,304,0,400,200,cv_normal,anodic,1001,1.18047409555,0.643409084463,6.74783302373,0.190418396635,0.691638804719,full_curve_sum,mean
3,4,304,0,400,200,cv_normal,cathodic,1000,1.03535541276,0.642630327166,6.26657315888,0.254763904536,0.426020066405,full_curve_sum,mean
3,4,304,0,400,200,cv_gc,anodic,1001,9.71987080811,9.62903495305,10.6985165385,0.442523061841,-20.2278911257,full_curve_sum,mean
3,4,304,0,400,200,cv_gc,cathodic,1000,10.1814259864,10.1111750544,10.9179337033,0.65017069293,-49.072564364,full_curve_sum,mean
3,5,305,5,0,200,cv_normal,anodic,1001,1.62371959296,0.795187182886,9.3357211976,0.739003307867,-3.64235905153,full_curve_sum,mean
3,5,305,5,0,200,cv_normal,cathodic,1000,1.18257731729,0.581690654908,8.74905675295,0.658863328804,-5.53438474664,full_curve_sum,mean
3,5,305,5,0,200,cv_gc,anodic,1001,6.76536347933,6.53709973535,14.7750268444,0.353216932688,-30.286757426,full_curve_sum,mean
3,5,305,5,0,200,cv_gc,cathodic,1000,6.17040877697,5.99498188757,14.4207809097,0.459064246284,-86.7155779276,full_curve_sum,mean
3,6,306,5,100,200,cv_normal,anodic,1001,1.60186067494,0.782447407742,9.18726517563,0.601589797975,-2.2562455226,full_curve_sum,mean
3,6,306,5,100,200,cv_normal,cathodic,1000,1.16264904306,0.522385234267,8.63208147505,0.577274937843,-3.04093751045,full_curve_sum,mean
3,6,306,5,100,200,cv_gc,anodic,1001,6.78878501612,6.57189999497,14.6005954374,0.346628941657,-25.5799095555,full_curve_sum,mean
3,6,306,5,100,200,cv_gc,cathodic,1000,6.14708410154,5.98246851409,14.2420488728,0.444334227113,-59.8571272059,full_curve_sum,mean
3,7,307,5,200,200,cv_normal,anodic,1001,1.49333437983,0.656281329158,8.84163727635,0.450432423821,-0.819954415532,full_curve_sum,mean
3,7,307,5,200,200,cv_normal,cathodic,1000,1.12373012076,0.528560817007,8.29161674685,0.462265364865,-1.33791564401,full_curve_sum,mean
3,7,307,5,200,200,cv_gc,anodic,1001,6.82339297436,6.61204297618,14.5088463945,0.342739739464,-22.2326672246,full_curve_sum,mean
3,7,307,5,200,200,cv_gc,cathodic,1000,6.16609406682,6.00785757669,14.1395087532,0.437875439391,-47.9910267268,full_curve_sum,mean
3,8,308,5,400,200,cv_normal,anodic,1001,1.40337676752,0.630979082422,8.25253110067,0.311770224499,0.172974319166,full_curve_sum,mean
3,8,308,5,400,200,cv_normal,cathodic,1000,1.0600742166,0.536272236045,7.66750537587,0.327849217424,-0.0657464763167,full_curve_sum,mean
3,8,308,5,400,200,cv_gc,anodic,1001,6.94067207308,6.7391745689,14.3266060934,0.334564751742,-16.0526991279,full_curve_sum,mean
3,8,308,5,400,200,cv_gc,cathodic,1000,6.23506125767,6.08718358479,13.9485267828,0.422376684336,-31.1221718413,full_curve_sum,mean
