analyte,setup_id,method,n_components,requested_n_components,score_trend_degree,score_trend_degree_effective,smooth_window,smooth_polyorder,grid_points,scope,technique,sweep,electrode,n_concentrations,n_voltages,cumulative_explained_variance_ratio,avg_abs_pc_pearson,avg_abs_pc_spearman,avg_pc_trend_r2,pc_pearson_r,pc_spearman_r,pc_trend_r2,pc_explained_variance_ratio,rmse_uA,mae_uA,max_abs_residual_uA,normalized_rmse,r2,condition_codes,concentration_values_uM,per_condition_rmse_uA,per_condition_mae_uA,per_condition_r2
UA,120,pcr,1,1,3,3,51,3,250,mean,cv_gc,cathodic,mean,4,250,0.999632168432,0.108373662862,0.8,1,0.108373662862,0.8,1,0.999632168432,0.2111776958,0.120202606743,1.98725535677,0.00755254557402,0.999632970203,101;201;301;401,0;100;200;400,0.3241521879;0.14617804781;0.00340977343183;0.227881082314,0.224622725048;0.0617913857344;0.00267246162048;0.19172385457,0.713931701555;0.834082764717;0.999981323987;0.826757982135
UA,120,pcr,1,1,3,3,51,3,250,mean,cv_normal,anodic,mean,4,250,0.881532939263,0.668914801065,0.8,1,0.668914801065,0.8,1,0.881532939263,0.166243284034,0.067610575787,1.41305921215,0.0334647796441,0.953324778599,101;201;301;401,0;100;200;400,0.162298995033;0.214025327932;0.161006900713;0.11169731905,0.0630732779034;0.0864560196293;0.066674360993;0.0542386446225,0.946257900738;0.726693782232;0.973876189071;0.971003304994
UA,120,pcr,1,1,3,3,51,3,250,mean,cv_normal,cathodic,mean,4,250,0.886054442678,0.718716546189,0.8,1,0.718716546189,0.8,1,0.886054442678,0.121030730186,0.0536911167728,1.18570250678,0.0226852195262,0.949755212302,101;201;301;401,0;100;200;400,0.0837296093573;0.163071172121;0.143147992845;0.0670786708435,0.0371146877632;0.0658389350585;0.0697264794374;0.0420843648322,0.981809823851;0.629481312243;0.948797402958;0.970435775362
UA,121,pcr,2,2,1,1,51,3,250,electrode,cv_gc,anodic,E1,4,250,0.999685594898,0.518679584031,0.6,0.270930147317,0.475071827535;0.562287340526,0.8;0.4,0.225693241318;0.316167053316,0.93724721632;0.0624383785774,0.556148845492,0.307318485938,1.79203209543,0.123995987204,0.681228851937,101;201;301;401,0;100;200;400,0.431259863181;0.207379225462;0.902998498246;0.439099820984,0.276910285056;0.0758986130872;0.589198067053;0.287266978558,0.498612444119;0.867772014035;0.607787488794;0.623437926588
UA,121,pcr,2,2,1,1,51,3,250,electrode,cv_gc,anodic,E3,4,250,0.999994643407,0.499003010203,0.8,0.406253106633,0.102456540744;0.895549479663,0.8;0.8,0.0104973427412;0.802008870525,0.999931964396;6.26790111846e-05,43.0100165451,37.0426028737,79.6208100099,0.398618479142,0.0111902728629,101;201;301;401,0;100;200;400,20.0100880982;22.7489618613;74.1392646597;31.3830629015,19.9953456083;22.7298393455;74.0852057473;31.3600207936,-838.80442596;-1942.03365997;-375.143436817;-1127.51236755
UA,121,pcr,2,2,1,1,51,3,250,electrode,cv_gc,anodic,E5,4,250,0.99968357734,0.495722046981,0.6,0.286170569641,0.696794724832;0.294649369131,0.8;0.4,0.485522888553;0.086818250729,0.936998757598;0.0626848197426,0.460098503913,0.259204541507,1.47131293557,0.0905451326518,0.7910664118,101;201;301;401,0;100;200;400,0.332797981017;0.25349990684;0.742128296148;0.34783821862,0.213262794329;0.11770660928;0.480581187454;0.225267574963,0.768052867182;0.750465448393;0.702816626489;0.867262988973
UA,121,pcr,2,2,1,1,51,3,250,electrode,cv_gc,anodic,E7,4,250,0.99973268227,0.504505538111,0.6,0.260738206453,0.583324117577;0.425686958645,0.8;0.4,0.340267026146;0.18120938676,0.901814229018;0.097918453252,0.499481019357,0.281563874643,1.63250096785,0.0936249406239,0.723297904668,101;201;301;401,0;100;200;400,0.376432825058;0.276810444304;0.797331293878;0.379291798935,0.243772278736;0.113603277237;0.518488013807;0.25039192879,0.732190026088;0.674558487925;0.638945544725;0.752976222045
UA,121,pcr,2,2,1,1,51,3,250,electrode,cv_gc,cathodic,E1,4,250,0.998861373838,0.528600918742,0.6,0.280660841089,0.493360178201;0.563841659283,0.8;0.4,0.243404265434;0.317917416743,0.88303657227;0.115824801569,0.349102808587,0.192930951586,1.28221864942,0.076445482267,0.73732485204,101;201;301;401,0;100;200;400,0.251468759835;0.186591618368;0.564890968556;0.265209932468,0.167076842464;0.0720606300677;0.363156622761;0.169429711051,0.791238863601;0.771557518448;0.657874194733;0.690509982517
UA,121,pcr,2,2,1,1,51,3,250,electrode,cv_gc,cathodic,E3,4,250,0.999996424429,0.468980114553,0.8,0.355538395099,0.100746428894;0.837213800211,0.8;0.8,0.0101498429349;0.700926947264,0.999971179835;2.52445931976e-05,43.2087296501,37.2372551809,76.9972570888,0.414204090133,0.0103068154094,101;201;301;401,0;100;200;400,20.0645343846;22.9037790788;74.4820693455;31.5155514268,20.0620587653;22.9005519021;74.4745103617;31.5118996943,-1044.85925923;-4198.29659949;-2882.94674893;-2664.50453308
UA,121,pcr,2,2,1,1,51,3,250,electrode,cv_gc,cathodic,E5,4,250,0.999668755001,0.494047888985,0.6,0.269552831389,0.653639601734;0.334456176237,0.8;0.4,0.427244728954;0.111860933823,0.878236052182;0.121432702819,0.311144436471,0.174826510539,1.46442336017,0.0605791076316,0.801257322474,101;201;301;401,0;100;200;400,0.212454763407;0.227897739901;0.491190138875;0.221136343718,0.130791992186;0.110505177075;0.316161532364;0.141847340531,0.87992526575;0.58961218024;0.717802826233;0.868191969412
